[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.034002s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.034002s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.023002s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023002s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2014-12-30T18:30:30+08:00 ] /crm/index.php/Public/verify | NOTIC: [8] Undefined variable: disturb Image.class.php 第 340 行.
